Date,Store listing visitors: All traffic sources,Store listing acquisitions: All traffic sources,Store listing conversion rate: All traffic sources,Store listing conversion rate: Peers' median (All traffic sources),Store listing conversion rate: 25th percentile (All traffic sources),Store listing conversion rate: 75th percentile (All traffic sources),Notes
"Oct 1, 2023","1,151",325,28.24%,42.48%,26.67%,58.82%,
"Oct 2, 2023","1,419",405,28.54%,45.10%,28.50%,62.68%,
"Oct 3, 2023","1,390",438,31.51%,45.45%,28.57%,62.79%,Rollout of release: Started rollout of 91 (3.975) at 20%.
"Oct 4, 2023","1,425",446,31.30%,45.05%,28.34%,62.77%,
"Oct 5, 2023","1,473",460,31.23%,45.10%,28.38%,62.50%,
"Oct 6, 2023","1,252",390,31.15%,44.44%,27.32%,61.94%,
"Oct 7, 2023","1,108",334,30.14%,42.11%,25.70%,59.01%,
"Oct 8, 2023","1,072",318,29.66%,42.72%,26.46%,59.09%,
"Oct 9, 2023","1,346",445,33.06%,45.29%,28%,62.92%,
"Oct 10, 2023","1,371",451,32.90%,44.68%,27.94%,62.50%,
"Oct 11, 2023","1,307",380,29.07%,44.91%,28.11%,62.50%,
"Oct 12, 2023","1,380",407,29.49%,44.05%,27.66%,61.42%,Rollout of release: Halted rollout of 91 (3.975). Rollout of release: Started rollout of 92 (3.98) at 100%.
"Oct 13, 2023","1,577",437,27.71%,43.65%,27.03%,61.11%,
"Oct 14, 2023","1,332",379,28.45%,41.33%,25.60%,58.33%,
"Oct 15, 2023","1,518",441,29.05%,42.02%,26.47%,58.90%,
"Oct 16, 2023","1,608",466,28.98%,44.65%,28.07%,62.22%,
"Oct 17, 2023","1,684",556,33.02%,44.65%,27.92%,62.16%,
"Oct 18, 2023","1,635",491,30.03%,44.44%,27.92%,62.07%,Rollout of release: Started rollout of 93 (3.985) at 100%.
"Oct 19, 2023","1,654",536,32.41%,43.93%,27.40%,61.54%,
"Oct 20, 2023","1,277",384,30.07%,43.06%,26.74%,60.57%,Rollout of release: Started rollout of 94 (3.995) at 100%.
"Oct 21, 2023","1,220",366,30%,41.11%,25.49%,57.84%,
"Oct 22, 2023","1,284",352,27.41%,41.43%,25.86%,58.14%,Rollout of release: Started rollout of 95 (4.00) at 20%.
"Oct 23, 2023","1,415",459,32.44%,44.44%,27.78%,62.03%,Rollout of release: Halted rollout of 95 (4.00). Rollout of release: Started rollout of 96 (4.10) at 100%.
"Oct 24, 2023","1,529",495,32.37%,44.47%,27.77%,61.76%,
"Oct 25, 2023","1,802",621,34.46%,45.12%,28.25%,62.50%,Rollout of release: Started rollout of 97 (4.15) at 100%.
"Oct 26, 2023","1,780",628,35.28%,44.36%,27.60%,61.87%,
"Oct 27, 2023","1,785",596,33.39%,43.34%,27.14%,60.98%,
"Oct 28, 2023","1,439",422,29.33%,41.67%,25.81%,58.33%,
"Oct 29, 2023","1,537",443,28.82%,41.58%,25.86%,58%,Rollout of release: Started rollout of 98 (4.16) at 100%. Rollout of release: Started rollout of 99 (4.17) at 100%. Rollout of release: Started rollout of 100 (4.18) at 100%.
"Oct 30, 2023","1,635",521,31.87%,44.65%,28.23%,62.30%,
"Oct 31, 2023","1,590",500,31.45%,45.11%,28.26%,62.37%,Rollout of release: Started rollout of 110 (4.191) at 100%. Rollout of release: Started rollout of 113 (4.193) at 100%.
"Nov 1, 2023","1,714",593,34.60%,44.44%,28%,61.86%,
"Nov 2, 2023","1,555",529,34.02%,44.44%,27.63%,61.54%,
"Nov 3, 2023","1,374",474,34.50%,43.77%,26.97%,61.19%,
"Nov 4, 2023","1,255",405,32.27%,41.82%,25.80%,59.18%,
"Nov 5, 2023","1,200",382,31.83%,42.86%,27.01%,59.58%,Rollout of release: Started rollout of 116 (4.196) at 100%.
"Nov 6, 2023","1,384",479,34.61%,44.87%,28.09%,62.37%,Rollout of release: Started rollout of 117 (4.197) at 100%.
"Nov 7, 2023","1,321",428,32.40%,44.62%,27.73%,62.34%,
"Nov 8, 2023","1,284",417,32.48%,44.55%,27.54%,62.07%,
"Nov 9, 2023","1,190",404,33.95%,44.90%,27.43%,62.26%,
"Nov 10, 2023","1,037",348,33.56%,43.90%,26.63%,61.36%,
"Nov 11, 2023",975,297,30.46%,41.46%,25%,58.33%,
"Nov 12, 2023","1,026",324,31.58%,42.31%,25.94%,58.61%,
"Nov 13, 2023","1,162",384,33.05%,44.44%,27.49%,62.08%,
"Nov 14, 2023","1,207",381,31.57%,44.97%,27.78%,62.25%,
"Nov 15, 2023","1,187",405,34.12%,44.50%,27.39%,61.90%,
"Nov 16, 2023","1,213",435,35.86%,44.34%,26.85%,62.12%,
